environment,device,environment_device,batch_size,epochs,learning_rate,seed,num_workers,model,parameter_count,train_runtime_seconds,train_runtime_minutes,train_examples_per_second,train_eval_runtime_seconds,train_accuracy,train_accuracy_percent,test_runtime_seconds,test_examples_per_second,test_accuracy,test_accuracy_percent
local,cpu,Local CPU,20,10,0.01,0,0,ProjectCIFAR10CNN,2193226,325.91211110001314,5.431868518333553,1534.1559364345446,16.531021900009364,0.97666,97.666,3.242002000013599,3084.5138281710047,0.738,73.8
local,cpu,Local CPU,50,10,0.01,0,0,ProjectCIFAR10CNN,2193226,319.7757008999761,5.329595014999601,1563.5959786587944,14.594851300003938,0.83616,83.616,2.898941499995999,3449.5349423276743,0.7138,71.38
local,cpu,Local CPU,100,10,0.01,0,0,ProjectCIFAR10CNN,2193226,297.2113190999953,4.953521984999922,1682.3047033137302,15.996321500017077,0.68734,68.734,3.1326430999906734,3192.19256098142,0.641,64.1
local,cpu,Local CPU,200,10,0.01,0,0,ProjectCIFAR10CNN,2193226,298.6765327000176,4.97794221166696,1674.0518429085494,15.102208600001177,0.59028,59.028000000000006,3.0284033000061754,3302.07010406428,0.5751,57.50999999999999
local,cpu,Local CPU,500,10,0.01,0,0,ProjectCIFAR10CNN,2193226,281.56762239997624,4.69279370666627,1775.7723552807263,15.053467000019737,0.4679,46.79,2.959195700008422,3379.296610890432,0.4718,47.18
local,cpu,Local CPU,1000,10,0.01,0,0,ProjectCIFAR10CNN,2193226,274.496209200006,4.5749368200001,1821.5187796480109,14.781350699980976,0.34962,34.961999999999996,3.0016204999992624,3331.5337498536064,0.354,35.4
local,cuda,Local GPU,20,10,0.01,0,0,ProjectCIFAR10CNN,2193226,126.85786660001033,2.114297776666839,3941.4189549358175,9.94496390002314,0.97526,97.526,1.9680981999845244,5081.047277050826,0.7355,73.55000000000001
local,cuda,Local GPU,50,10,0.01,0,0,ProjectCIFAR10CNN,2193226,90.8663155999966,1.5144385933332767,5502.589124456794,8.002405299979728,0.83812,83.812,1.477928400010569,6766.227646703648,0.7165,71.65
local,cuda,Local GPU,100,10,0.01,0,0,ProjectCIFAR10CNN,2193226,79.07334699999774,1.317889116666629,6323.24315296802,7.120313099992927,0.686,68.60000000000001,1.3386086999962572,7470.4430055086,0.6398,63.980000000000004
local,cuda,Local GPU,200,10,0.01,0,0,ProjectCIFAR10CNN,2193226,70.58798489999026,1.1764664149998376,7083.358459777607,7.1169041999964975,0.59044,59.044,1.312293499999214,7620.246537840803,0.5746,57.46
local,cuda,Local GPU,500,10,0.01,0,0,ProjectCIFAR10CNN,2193226,65.0093967000139,1.0834899450002315,7691.195817540838,6.687361399992369,0.468,46.800000000000004,1.2965273000008892,7712.911251458524,0.4719,47.19
local,cuda,Local GPU,1000,10,0.01,0,0,ProjectCIFAR10CNN,2193226,62.693411699990975,1.0448901949998495,7975.319677810292,6.535111299977871,0.34968,34.967999999999996,1.2681004999903962,7885.810312412726,0.3535,35.35
orca,cpu,ORCA CPU,20,10,0.01,0,0,ProjectCIFAR10CNN,2193226,485.0682251519757,8.084470419199596,1030.7828344009672,20.71408831502777,0.97864,97.86399999999999,4.145883332006633,2412.0312124557395,0.735,73.5
orca,cpu,ORCA CPU,50,10,0.01,0,0,ProjectCIFAR10CNN,2193226,453.7090446999064,7.561817411665107,1102.0278432639832,21.15121220506262,0.83752,83.75200000000001,4.230661074980162,2363.696789407053,0.7165,71.65
orca,cpu,ORCA CPU,100,10,0.01,0,0,ProjectCIFAR10CNN,2193226,466.5309304470429,7.775515507450716,1071.7403013791306,22.83753072097897,0.6858,68.58,4.560308711021207,2192.8340017491187,0.6406,64.05999999999999
orca,cpu,ORCA CPU,200,10,0.01,0,0,ProjectCIFAR10CNN,2193226,474.5954164300347,7.9099236071672445,1053.5289273568249,21.71821376006119,0.5902,59.019999999999996,4.343851573066786,2302.1044415981137,0.5749,57.489999999999995
orca,cpu,ORCA CPU,500,10,0.01,0,0,ProjectCIFAR10CNN,2193226,490.48679182096384,8.174779863682732,1019.3954421152052,22.98305473604705,0.46806,46.806,4.600319987977855,2173.7618309450822,0.4719,47.19
orca,cpu,ORCA CPU,1000,10,0.01,0,0,ProjectCIFAR10CNN,2193226,488.3137606451055,8.138562677418426,1023.931824774825,22.957694046082903,0.34956,34.955999999999996,4.590261991950683,2178.5248897635115,0.354,35.4
