experiment,n,tensor_size_mb,device,dtype,case,repeats,total_seconds,seconds_per_repeat
transfer_overhead,10000,0.03814697265625,cuda,float32,cpu_compute_only,50,0.0004925999965053052,9.851999930106104e-06
transfer_overhead,10000,0.03814697265625,cuda,float32,gpu_compute_only,50,0.0007788999937474728,1.5577999874949455e-05
transfer_overhead,10000,0.03814697265625,cuda,float32,cpu_to_gpu_transfer,50,0.0007461999775841832,1.4923999551683664e-05
transfer_overhead,10000,0.03814697265625,cuda,float32,gpu_to_cpu_transfer,50,0.0008755000017117709,1.751000003423542e-05
transfer_overhead,10000,0.03814697265625,cuda,float32,bad_repeated_transfer,50,0.0033736000186763704,6.74720003735274e-05
transfer_overhead,10000,0.03814697265625,cuda,float32,good_keep_on_gpu,50,0.0007764000038150698,1.5528000076301396e-05
transfer_overhead,100000,0.3814697265625,cuda,float32,cpu_compute_only,50,0.007679000002099201,0.00015358000004198402
transfer_overhead,100000,0.3814697265625,cuda,float32,gpu_compute_only,50,0.000891800009412691,1.783600018825382e-05
transfer_overhead,100000,0.3814697265625,cuda,float32,cpu_to_gpu_transfer,50,0.0015887999907135963,3.177599981427193e-05
transfer_overhead,100000,0.3814697265625,cuda,float32,gpu_to_cpu_transfer,50,0.00309209999977611,6.18419999955222e-05
transfer_overhead,100000,0.3814697265625,cuda,float32,bad_repeated_transfer,50,0.007762399996863678,0.00015524799993727357
transfer_overhead,100000,0.3814697265625,cuda,float32,good_keep_on_gpu,50,0.0012618000037036836,2.5236000074073672e-05
transfer_overhead,1000000,3.814697265625,cuda,float32,cpu_compute_only,50,0.006236899993382394,0.0001247379998676479
transfer_overhead,1000000,3.814697265625,cuda,float32,gpu_compute_only,50,0.0011420999944675714,2.2841999889351428e-05
transfer_overhead,1000000,3.814697265625,cuda,float32,cpu_to_gpu_transfer,50,0.010078999999677762,0.00020157999999355524
transfer_overhead,1000000,3.814697265625,cuda,float32,gpu_to_cpu_transfer,50,0.018041900009848177,0.00036083800019696353
transfer_overhead,1000000,3.814697265625,cuda,float32,bad_repeated_transfer,50,0.036486900004092604,0.0007297380000818521
transfer_overhead,1000000,3.814697265625,cuda,float32,good_keep_on_gpu,50,0.0017482000112067908,3.496400022413581e-05
transfer_overhead,10000000,38.14697265625,cuda,float32,cpu_compute_only,50,0.10742829999071546,0.0021485659998143093
transfer_overhead,10000000,38.14697265625,cuda,float32,gpu_compute_only,50,0.007182400004239753,0.00014364800008479506
transfer_overhead,10000000,38.14697265625,cuda,float32,cpu_to_gpu_transfer,50,0.12979279999854043,0.0025958559999708086
transfer_overhead,10000000,38.14697265625,cuda,float32,gpu_to_cpu_transfer,50,0.15219209998031147,0.003043841999606229
transfer_overhead,10000000,38.14697265625,cuda,float32,bad_repeated_transfer,50,0.295401600014884,0.005908032000297681
transfer_overhead,10000000,38.14697265625,cuda,float32,good_keep_on_gpu,50,0.011343299993313849,0.000226865999866277
