experiment,batch_size,mode,timing_case,visible_cuda_devices,used_cuda_devices,device_ids,model,parameter_count,warmup,repeats,total_seconds,seconds_per_repeat,milliseconds_per_repeat,examples_per_second
dataparallel,128,single_gpu,forward_only,4,1,0,ProjectCIFAR10CNN,2193226,5,20,0.007619854994118214,0.00038099274970591066,0.3809927497059107,335964.39853200235
dataparallel,128,dataparallel,forward_only,4,4,0 1 2 3,ProjectCIFAR10CNN,2193226,5,20,0.12154485494829714,0.0060772427474148575,6.077242747414857,21062.183184051475
dataparallel,128,single_gpu,forward_backward,4,1,0,ProjectCIFAR10CNN,2193226,5,20,0.026623576995916665,0.0013311788497958332,1.3311788497958332,96155.37387754601
dataparallel,128,dataparallel,forward_backward,4,4,0 1 2 3,ProjectCIFAR10CNN,2193226,5,20,0.15481331502087414,0.007740665751043707,7.740665751043707,16536.045363118956
dataparallel,256,single_gpu,forward_only,4,1,0,ProjectCIFAR10CNN,2193226,5,20,0.01673268189188093,0.0008366340945940465,0.8366340945940465,305988.00796448166
dataparallel,256,dataparallel,forward_only,4,4,0 1 2 3,ProjectCIFAR10CNN,2193226,5,20,0.10025541309732944,0.0050127706548664715,5.012770654866472,51069.561650795134
dataparallel,256,single_gpu,forward_backward,4,1,0,ProjectCIFAR10CNN,2193226,5,20,0.07864526193588972,0.003932263096794486,3.9322630967944856,65102.45975369422
dataparallel,256,dataparallel,forward_backward,4,4,0 1 2 3,ProjectCIFAR10CNN,2193226,5,20,0.16197439201641828,0.008098719600820915,8.098719600820914,31609.934979604797
dataparallel,512,single_gpu,forward_only,4,1,0,ProjectCIFAR10CNN,2193226,5,20,0.05069982004351914,0.002534991002175957,2.534991002175957,201973.10347867713
dataparallel,512,dataparallel,forward_only,4,4,0 1 2 3,ProjectCIFAR10CNN,2193226,5,20,0.12711394298821688,0.0063556971494108435,6.355697149410844,80557.64583551012
dataparallel,512,single_gpu,forward_backward,4,1,0,ProjectCIFAR10CNN,2193226,5,20,0.22687946096993983,0.011343973048496991,11.343973048496991,45134.098768670556
dataparallel,512,dataparallel,forward_backward,4,4,0 1 2 3,ProjectCIFAR10CNN,2193226,5,20,0.16450517007615417,0.008225258503807708,8.225258503807709,62247.283749560025
dataparallel,1024,single_gpu,forward_only,4,1,0,ProjectCIFAR10CNN,2193226,5,20,0.12725362193305045,0.006362681096652523,6.362681096652523,160938.44472870688
dataparallel,1024,dataparallel,forward_only,4,4,0 1 2 3,ProjectCIFAR10CNN,2193226,5,20,0.12933771999087185,0.006466885999543592,6.466885999543592,158345.14479956348
dataparallel,1024,single_gpu,forward_backward,4,1,0,ProjectCIFAR10CNN,2193226,5,20,0.49347378709353507,0.024673689354676752,24.673689354676753,41501.69783206364
dataparallel,1024,dataparallel,forward_backward,4,4,0 1 2 3,ProjectCIFAR10CNN,2193226,5,20,0.17486932396423072,0.008743466198211536,8.743466198211536,117116.02433019731
dataparallel,2048,single_gpu,forward_only,4,1,0,ProjectCIFAR10CNN,2193226,5,20,0.2536638090386987,0.012683190451934934,12.683190451934934,161473.56674657197
dataparallel,2048,dataparallel,forward_only,4,4,0 1 2 3,ProjectCIFAR10CNN,2193226,5,20,0.12476767192129046,0.0062383835960645225,6.238383596064523,328290.1681922828
dataparallel,2048,single_gpu,forward_backward,4,1,0,ProjectCIFAR10CNN,2193226,5,20,0.9878025769721717,0.049390128848608585,49.39012884860858,41465.77560624639
dataparallel,2048,dataparallel,forward_backward,4,4,0 1 2 3,ProjectCIFAR10CNN,2193226,5,20,0.2737614919897169,0.013688074599485844,13.688074599485844,149619.28977775498
